route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
79-10534,2020-COMBXMAS-Weekday-01,42651009-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
27-10534,2020-COMBXMAS-Weekday-01,42651010-2020-COMBXMAS-Weekday-01,Gungahlin Place,0,270179,1,1
28-10534,2020-COMBXMAS-Weekday-01,42651011-2020-COMBXMAS-Weekday-01,Gungahlin Place,0,280092,1,1
27-10534,2020-COMBXMAS-Weekday-01,42651012-2020-COMBXMAS-Weekday-01,Gungahlin Place,0,270179,1,1
28-10534,2020-COMBXMAS-Weekday-01,42651013-2020-COMBXMAS-Weekday-01,Gungahlin Place,0,280092,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651014-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651015-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651016-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651017-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,0
5-10534,2020-COMBXMAS-Weekday-01,42651018-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
10-10534,2020-COMBXMAS-Weekday-01,42651019-2020-COMBXMAS-Weekday-01,Denman Prospect,1,100178,1,1
10-10534,2020-COMBXMAS-Weekday-01,42651020-2020-COMBXMAS-Weekday-01,Denman Prospect,1,100178,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651021-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651022-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651023-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651024-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651025-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651026-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651027-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651028-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651029-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651030-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651031-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651032-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651033-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,0
7-10534,2020-COMBXMAS-Weekday-01,42651034-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
7-10534,2020-COMBXMAS-Weekday-01,42651035-2020-COMBXMAS-Weekday-01,Weston Creek,1,70311,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651036-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
10-10534,2020-COMBXMAS-Weekday-01,42651037-2020-COMBXMAS-Weekday-01,Denman Prospect,1,100178,1,1
5-10534,2020-COMBXMAS-Weekday-01,42651038-2020-COMBXMAS-Weekday-01,Lanyon,0,50298,1,1
6-10534,2020-COMBXMAS-Weekday-01,42651039-2020-COMBXMAS-Weekday-01,Woden,0,60451,1,1
